* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 12-21-2016
* Calibration Normalization FAM-ROX is expired = Yes
* Calibration Normalization FAM-ROX performed on = 12-21-2016
* Calibration Normalization VIC-ROX is expired = Yes
* Calibration Normalization VIC-ROX performed on = 12-21-2016
* Calibration Pure Dye FAM is expired = Yes
* Calibration Pure Dye FAM performed on = 12-21-2016
* Calibration Pure Dye NED is expired = Yes
* Calibration Pure Dye NED performed on = 12-21-2016
* Calibration Pure Dye ROX is expired = Yes
* Calibration Pure Dye ROX performed on = 12-21-2016
* Calibration Pure Dye SYBR is expired = Yes
* Calibration Pure Dye SYBR performed on = 12-21-2016
* Calibration Pure Dye TAMRA is expired = Yes
* Calibration Pure Dye TAMRA performed on = 12-21-2016
* Calibration Pure Dye VIC is expired = Yes
* Calibration Pure Dye VIC performed on = 12-21-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 12-21-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 12-21-2016
* Chemistry = SYBR_GREEN
* Date Created = 2018-08-25 21:11:08 PM CST
* Date Modified = 2018-08-28 15:02:18 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = F:\QQ.Data\405385180\FileRecv\生长曲线\2018-08-25 生长曲线.eds
* Experiment Name = 2018-08-25 174758
* Experiment Run Start Time = 2018-08-26 02:06:28 AM CST
* Experiment Run Stop Time = 2018-08-26 03:53:03 AM CST
* Experiment Type = Standard Curve
* Instrument Name = 278861596
* Instrument Serial Number = 278861596
* Instrument Type = QuantStudio(TM) 6 Flex System
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	Tm1	Tm2	Tm3	MTP	EXPFAIL	HIGHSD	NOAMP	PRFDROP	OUTLIERRG
1	A1	false	Sample 1	EC	UNKNOWN	SYBR	None	15.622	15.573	0.199	18,035,226.000	18,752,838.000	2,568,545.500	40.388	0.998	-3.413	96.331	true	0.126	true	3	11		85.295			N	N	N	N	N	N
2	A2	false	Sample 1	EC	UNKNOWN	SYBR	None	15.355	15.573	0.199	21,603,870.000	18,752,838.000	2,568,545.500	40.388	0.998	-3.413	96.331	true	0.126	true	3	10		85.558			N	N	N	N	N	N
3	A3	false	Sample 1	EC	UNKNOWN	SYBR	None	15.743	15.573	0.199	16,619,413.000	18,752,838.000	2,568,545.500	40.388	0.998	-3.413	96.331	true	0.126	true	3	11		85.295			N	N	N	N	N	N
4	A4	false	Sample 2	EC	UNKNOWN	SYBR	None	35.094	35.357	0.592	35.567	31.272	10.921	40.388	0.998	-3.413	96.331	true	0.126	true	3	30		85.295			N	N	Y	N	N	N
5	A5	false	Sample 2	EC	UNKNOWN	SYBR	None	34.943	35.357	0.592	39.393	31.272	10.921	40.388	0.998	-3.413	96.331	true	0.126	true	3	30		85.426			N	N	Y	N	N	N
6	A6	false	Sample 2	EC	UNKNOWN	SYBR	None	36.035	35.357	0.592	18.856	31.272	10.921	40.388	0.998	-3.413	96.331	true	0.126	true	3	31		85.426			N	N	Y	N	N	N
7	A7	false	Sample 3	EC	UNKNOWN	SYBR	None	15.601	15.425	0.157	18,299,958.000	20,675,622.000	2,138,957.750	40.388	0.998	-3.413	96.331	true	0.126	true	3	11		85.426			N	N	N	N	N	N
8	A8	false	Sample 3	EC	UNKNOWN	SYBR	None	15.377	15.425	0.157	21,278,376.000	20,675,622.000	2,138,957.750	40.388	0.998	-3.413	96.331	true	0.126	true	3	11		85.558			N	N	N	N	N	N
9	A9	false	Sample 3	EC	UNKNOWN	SYBR	None	15.298	15.425	0.157	22,448,526.000	20,675,622.000	2,138,957.750	40.388	0.998	-3.413	96.331	true	0.126	true	3	10		85.558			N	N	N	N	N	N
10	A10	false	Sample 4	EC	UNKNOWN	SYBR	None	16.177	16.232	0.190	12,406,718.000	12,014,687.000	1,494,120.500	40.388	0.998	-3.413	96.331	true	0.126	true	3	11		85.295			N	N	N	N	N	N
